generic,min_age_d,max_age_d,min_age_m,max_age_m,min_age_y,max_age_y,min_weight,max_weight,min_dose_dw_mg,max_dose_dw_mg,min_dose_dw_iu,max_dose_dw_iu,limit_mg,limit_iu,min_dose_dd_mg,max_dose_dd_mg,min_dose_dd_iu,max_dose_dd_iu,route
Amikacin,0.0,999.0,0.0,999.0,12.0,65.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM
Amikacin,0.0,999.0,0.0,999.0,12.0,65.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV
Amikacin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM
Amikacin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IM
Amikacin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV
Amikacin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,10.0,15.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,IV
Amoxicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2000.0,0.0,0.0,PO
Amoxicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Amoxicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,20.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO
Amoxicillin  + Clavulanic Acid,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1750.0,0.0,0.0,PO
Amoxicillin  + Clavulanic Acid,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,15.0,45.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,PO
Amphotericin B,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Amphotericin B,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Ampicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,12000.0,0.0,0.0,IM
Ampicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,12000.0,0.0,0.0,IV
Ampicillin,0.0,999.0,0.0,999.0,12.0,120.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,0.0,0.0,PO
Ampicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Ampicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IM
Ampicillin,0.0,999.0,1.0,999.0,0.0,11.0,0.0,999.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
Ampicillin,1.0,29.0,0.0,999.0,0.0,999.0,0.0,999.0,100.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IV
